"No.","Name","Roaming Channel Member",
"1","Roaming SM0","Botkyrka 2 U|Brandbergen U|Dalaro U|Galo U|Johanneshov U|Hogdalen V|Nynashamn 2 U|Sigtuna U|Taby 2 U|Upplands Vasby U|Almsta 1 V|Almsta 2 U|Haninge 4|Stockholm|Tyreso U+|Rimbo U|Vallentuna 3 U|Nynashamn 7 V"
"2","Roaming SM2","Boden 2|Kalix 1|Kalix-Vattentorn|Kalix 3|Kalix 4|Kiruna 2|Lulea 2|Pitea 3|Seskaro|Vannas 3|Skelleftea 2 V"
"3","Roaming SM3","Follinge|Hudiksvall 1|Hudiksvall 2|Sundsvall 3|Sundsvall 4|Soderhamn 3|Ornskoldsvik 1|Ostersund 3|Gavle 1 U"
"4","Roaming SM4","Arvika 2|Borlange 2|Falun 2|Karlskoga 1|Leksand 1|Vansbro 3|Orebro 2|Smedjebacken|Eksharad HI|Sunne 2 HI|Karlskoga 2 U|Leksand 3 U|Malung VH"
"5","Roaming SM5","Flen 1|Knivsta|Linkoping 1|Linkoping 4|Linkoping 7|Norrkoping 4|Nykoping 2|Sala 2|Uppsala 1|Uppsala 4|Uppsala 5|Uppsala 6|Uppsala 3 H|Finspang 3|Stigtomta LF"
"6","Roaming SM6","Goteborg 5|Kungshamn|Stenungsund 3|Trollhattan 3|Uddevalla 1|Uddevalla 2|Dingle|Halmstad 3 U|Trollhattan 1 V|Bengtsfors 1 V|Bengtsfors 2 U|Boras 3 U|Alingsas 3 U|Guldheden 3 U|Floda 2 U|Tanumshede VS|Skene 2 UHI|Kortedala 2 V|Stenungsun 2 VSE|Kungshamn VS|Ockero 2 U"
"7","Roaming SM7","Algutsrum 2 UI|Aneby 3/Sjobo|Bzhlm/Hbg 2|Ekenassjon 1 H|Ekenassjon 2|Eksharad HI|Eksjo U|Emmaboda 2|Gladsax 1 VI|Helsingborg 2 U|Hoor U|Jkp 3/O-ljunga|Kristianstad 2 U|Linderod|Lund 2 U|Malmo 1|Malmo 1 UI|Malmo 2 U|Nassjo 1 V|Nassjo 4 U|Olofstrom 2 UI|Orkelljunga U|Savsjo|Sjobo U|Soderasen 2 U|Sodra_Vi 1 U|Tomelilla|Vastervik 2 U|Vaxjo 2 U"
"8","Roaming LA","Aamot|Bardufoss|Bergen|Drammen|Follo|Geilo|Grimstad|Harstad|Hvittingen|Kolsas|Kongsberg|Kongsvinger 1|Mosjoen|Narvik|Oppegaard|Sandnessjoen|Skien Vealoes|Stavanger|Tromso|Haugesund 1|Mo_i_Rana 1|Vangsasen"
"9","Roaming OH","Aanekoski|Hameenlinna|Imatra|Jamsa Himos|Jomala|Jyvaskyla|Kokkola|Kotka|Kouvola|Kuusamo|Lahti|Lappeenranta|Lohja|Mikkeli|Nurmijarvi|Oulu 1|Oulu 2|Pori|Porvoo|Raasepori|Tampere|Tampere Hervanta|Tampere Tesoma|Tervola|Vantaa|Viitasaari|Ylivieska"
"10","Roaming OH0","Jomala U"
"11","Roaming OH2","Helsinki 1 U|Espoo 1 U"
"12","Roaming OH3","Virrat U|Lahti 1 U|Tampere 2 UF|Tampere 3 UF"
"13","Roaming OH6","Saarijarvi UF"
"14","Roaming OZ","Aarhus S|Frederikshavn|Gorlose|Herlev|Regnemark|Helsingor 2|Vodskov|Fredrikstad 4|Gilleleje|Aalborg 3 +"
